ModelYear,Mfr,City FE,Cob FE,Hwy FE
2025,Honda,25,27,30
2025,Honda,26,28,31
2025,Honda,30,33,37
2025,Honda,21,24,28
2025,Honda,29,32,36
2025,Honda,26,30,36
2025,Honda,19,21,25
2025,Honda,17,19,21
2025,Honda,19,22,26
2025,Honda,21,23,27
2025,Honda,21,23,26
2025,Honda,21,24,29
2025,Honda,22,25,31
2025,Honda,19,21,25
2025,Honda,29,32,37
2025,Honda,51,48,44
2025,Honda,46,44,41
2025,Honda,27,31,37
2025,Honda,32,36,41
2025,Honda,31,34,39
2025,Honda,50,49,47
2025,Honda,30,34,38
2025,Honda,50,48,45
2025,Honda,22,24,28
2025,Honda,26,28,31
2025,Honda,40,37,34
2025,Honda,28,30,34
2025,Honda,43,40,36
2025,Honda,25,27,30
2025,Honda,26,28,32
2025,Honda,19,22,28
2025,Honda,19,21,24
2025,Honda,19,21,25
2025,Honda,19,21,25
2025,Honda,18,20,23
2025,Honda,19,22,27
2025,Honda,18,21,24
2025,Honda,18,20,23
